Date,PM10,PM2. 5,CO,AQI,Place_vyttilla
2/15/2023,1.737878059,2.206953222,-0.0506133,0.811395823,1
2/16/2023,2.008844521,3.041350336,0.02735645,0.967431497,1
2/17/2023,1.678526461,2.115084806,0.079336284,0.785389878,1
2/18/2023,0.992098807,1.094721044,-0.076603217,0.447312585,1
2/19/2023,0.929018312,1.339108868,-0.128583051,0.915419606,1
2/20/2023,0.871531161,1.11657324,-0.076603217,0.499324476,1
2/21/2023,1.449199341,1.459964891,-0.024623384,1.149473116,1
2/22/2023,1.241002633,1.832790111,-0.024623384,0.551336367,1
2/23/2023,0.835795906,1.158047816,-0.258532635,0.577342313,1
2/24/2023,1.247838942,1.426963615,0.053346367,1.097461225,1
2/25/2023,1.375242898,1.694987488,0.079336284,0.629354204,1
2/26/2023,1.157723949,1.912171558,-0.076603217,0.499324476,1
2/27/2023,0.888311195,0.962269979,-0.128583051,0.317282856,1
2/28/2023,1.291653473,1.542468079,0.183295951,0.577342313,1
3/1/2023,1.032805925,1.362744917,0.209285868,0.967431497,1
3/2/2023,0.838903319,1.492966166,0.157306034,1.227490953,1
3/3/2023,1.316823523,1.249470268,0.235275785,0.733377986,1
3/4/2023,2.498262155,3.071675833,0.52116487,4.296192537,1
3/5/2023,2.314924756,2.702864281,0.547154787,3.56802606,1
3/6/2023,2.101445445,2.405852801,0.313245535,2.995895256,1
3/7/2023,3.289409646,3.473042697,0.599134621,5.076370906,1
3/8/2023,1.825817863,2.162802867,0.391215286,2.527788235,1
3/9/2023,1.887344651,2.234156976,0.52116487,2.657817963,1
3/10/2023,1.670757927,2.025000243,0.599134621,2.241722833,1
3/11/2023,1.80220152,2.459814346,0.703094288,3.099919038,1
3/12/2023,1.693131304,2.417893807,0.547154787,3.021901202,1
3/13/2023,1.170464345,1.286039249,0.651114454,0.811395823,1
3/14/2023,1.078795645,1.355163543,0.703094288,0.941425551,1
3/15/2023,0.516664534,0.63314915,0.391215286,0.005211509,1
3/16/2023,-0.010974287,0.341489228,0.313245535,-0.306859839,1
3/17/2023,-0.318297487,-0.129001929,0.313245535,-0.696949023,1
3/18/2023,-0.167898672,-0.095108727,0.339235452,-0.566919295,1
3/19/2023,-0.028997286,-0.21462686,0.079336284,-0.462895512,1
3/20/2023,1.009811064,0.890469906,0.339235452,0.421306639,1
3/21/2023,0.305671154,0.456993693,0.365225369,-0.17683011,1
3/22/2023,0.346378271,-0.652116743,0.313245535,-0.020794437,1
3/23/2023,0.116429668,0.035558485,0.339235452,-0.332865784,1
3/24/2023,0.154961596,0.099777183,0.391215286,-0.306859839,1
3/25/2023,-0.015635408,-0.269034369,0.339235452,-0.436889567,1
3/26/2023,-0.353100519,-0.28464308,0.235275785,-0.35887173,1
3/27/2023,-0.514375282,-0.091986985,0.02735645,-0.722954969,1
